SLCAN,SLCAT,CONTEXT
Glasfaserkabel,NST,Nachrichtenübertragungsmedium aus hochreinem Quarzglas. Glasfaserkabel weisen eine höhere Übertragungskapazität (im Gbit/s-Bereich) und geringere Signalverzerrungen als Kupferkabel auf.
GPRS,NST,"General Packet Radio Service ist eine Datenübertragungstechnik für Mobilfunknetze, z.B. zum Übertragen von Internetseiten auf Handy. Die Abrechnung erfolgt meist über das Datenvolumen."
GPS-Satellitentechnik,NST,Das amerikanische Global Positioning System ermittel mit Hilfe von Satellitensignalen den momentanen Standort. Mit entsprechenden Karten ist somit eine Navigation möglich.Das europäische Satellitennavigationssystem Galileo soll 2014 betriebsbereit sein; es unterliegt im Unterschied zu GPS nicht der nationalen militärischen Kontrolle.
Grenzwert,NST,"Gesetzlich vorgeschriebener Wert, unterhalb dessen nach heutigen wissenschaftlichen Erkenntnissen gesundheitsrelevante Effekte für den Menschen auszuschließen sind.Grenzwerte dienen dem Schutz der Gesundheit. Im Mobilfunk gibt es Basisgrenzwerte und abgeleitete Grenzwerte."
Grid-Computing ,NST,"Grid bezeichnet ein Netzwerk aus miteinander verbundenen Großrechnern.Bei freien Kapazitäten eines Rechners stellt er seine Rechenleistung bei Anforderung anderen zur Verfügung. Die Verbindung untereinander geschieht über ein Hochleistungs-Backbone. Größtenteils wird das Backbone des Internet benutzt. Damit sind solche Grids eine effektive und effiziente Möglichkeit, um über Organisationsgrenzen hinweg komplexe Aufgaben zu lösen. Über das Netz greift der Nutzer unabhängig vom Standort nach Bedarf auf alle Ressourcen zu."
Grüner PC/Grüne IT,NST,"Unter dem Stichwort Green IT (seltener auch Green ICT) versteht man Bestrebungen, die Nutzung von Informationstechnik (IT) bzw. Informations- und Kommunikationstechnologie (früher IKT oder IuK, engl. ICT) über deren gesamten Lebenszyklus hinweg umwelt- und ressourcenschonend zu gestalten, also vom Design der Systeme und zur Produktion der Komponenten über deren Verwendung bis zur Entsorgung, bzw. dem Recycling der Geräte."
GSM (Global System for Mobile Communications),NST,"Das Global System for Mobile Communications (früher Groupe Spéciale Mobile, GSM) ist ein Standard für volldigitale Mobilfunknetze, der hauptsächlich für Telefonie, aber auch für leitungsvermittelte und paketvermittelte Datenübertragung sowie Kurzmitteilungen (Short Messages) genutzt wird. Es ist der weltweit am meisten verbreitete Mobilfunk-Standard."
Hacker,NST,"Im Fachjargon Person, die Freude daran hat bzw. es als kreative oder intellektuelle Herausforderung betrachtet, sich in komplizierte Programmsysteme einzuarbeiten.Anders als der normale Benutzer, der es vorzieht, nur das funktionale Minimum eines Programms zu erlernen, versucht ein Hacker, die Möglichkeiten des Programms auszureizen oder gar zu erweitern. Dazu kann auch gehören, unter Umgehung von Sicherungsfunktionen unberechtigt in fremde Computersysteme einzudringen, um an sensible Daten zu gelangen. Im Unterschied zu Hackern richten so genannte Cracker dagegen oft Schäden an und manipulieren und/oder veröffentlichen vertrauliche Daten."
Handy,NST,"Ein Mobiltelefon (umgangssprachlich Handy auch Funktelefon, GSM-Telefon, englisch cell phone und mobile phone, Kurzform: mobile) ist ein tragbares Telefon, das über Funk (GSM) mit dem Telefonnetz kommuniziert und daher ortsunabhängig eingesetzt werden kann. 2013 wurden weltweit erstmals mehr internetfähige Mobiltelefone mit berührungsempfindlichen Bildschirmen (Smartphones) als herkömmliche Mobiltelefone verkauft. Die größten Hersteller von Mobilfunkgeräten weltweit sind Samsung, Nokia und Apple, ZTE, LG, Huawei, TCL, Blackberry (RIM), Motorola und HTC."
HDTV (High Definition TeleVision),NST,High Definition Television ist ein hochauflösender Fernsehstandard mit mehr Bildpunkten und Schärfe als PAL oder NTSC.
Honeypot,NST,"Englisch für ""Honigtopf"": eine bewusst gestellte Falle, mit dem IT-Entwickler und -Betreiber Viren- und Hackerangriffe sowie deren Urheber identifizieren. So wie Bären bei der Jagd mit einem Honigköder ""angelockt"" werden, sollen Hacker auf vermeintliche Schwachstellen in IT-Systemen reagieren und versuchen, sie auszunutzen. Tatsächlich können sie dadurch erkannt und das System vor zukünftigen Angriffen geschützt werden."
HotSpot,NST,"HotSpots werden Standorte genannt, die Nutzern einen schnellen Internetzuggang über WLAN ermöglichen. Allein die Telekom betreibt rund 11.000 HotSpots in Deutschland und 50.000 weltweit, zum Beispiel in Flughäfen, Hotels, Messen und Konferenzzentren. Alle Standorte unter www.hotspot.de."
HSDPA,NST,"High Speed Downlink Packet Access.Mobilfunk-Technik, die die Übertragungsrate im UMTS-Netz steigert. Diese Weiterentwicklung von UMTS ermöglicht die Datenübertragung im Downlink mit einer realistischen Datenrate von bis zu 14,4 Mbit/s."
HSUPA,NST,"High Speed Uplink Packet Access erhöht die Übertragungsrate im Uplink im UMTS-Netz und ermöglicht kürzere Latenzzeiten (Verzögerungszeiten). Es können bis zu 5,8 MBit/s übertragen werden."
Hybrid Access,NST,"Eine ""Hybrid-Box"" soll die Stärken der Funktechnik LTE (4G) und VDSL-Vectoring bündeln. Der hybride Internetverkehr der Zukunft soll über Vectoring und LTE zu- und abgeleitet werden, um im Download Geschwindigkeiten von bis zu 200 MBit/s und im Upload von bis zu 90 MBit/s zu ermöglichen. Das ermöglicht blitzschnelles Internet für Jedermann."
Hybrid-Box-Technologie ,NST,Die Hybrid-Lösung verbindet LTE und Vectoring miteinander und erhöht damit die Bandbreiten. Dies wird im Download Geschwindigkeiten von bis zu 200 MBit/s und im Upload von bis zu 90 MBit/s ermöglichen. Siehe auch LTE und Vectoring.
IARC,NST,Internationale Agentur für Krebsforschung – ein Institut der Weltgesundheitsorganisation (WHO).
"""Ich kann was!""",NST,"""Ich kann was!"" ist eine von der Telekom geförderte Initiative, die Kinder und Jugendliche dabei unterstützt, ihre Potenziale zu erkennen. Durch Einrichtungen oder Projekte werden die Kompetenzen der 9 bis 14-jährigen gefördert.Mehr zu ""Ich kann was!"""
ICNIRP,NST,International Commission on Non-Ionizing Radiation Protection (internationale Kommission für den Schutz vor nicht ionisierender Strahlung)
IC,NST,Interconnection (engl.)Festnetz-Terminierung. Siehe MTR.
ICT,NST,"Information and Communication Technology, zu deutsch: Informations- und Kommunikationstechnologie.Die Zusammenfassung der beiden Begriffe entstand in den achtziger Jahren, um das Zusammenwachsen der Informationstechnik und der Kommunikationstechnik zu verdeutlichen."
Immission,NST,"Die Einwirkung von Faktoren wie zum Beispiel Lärm oder elektromagnetischen Feldern auf den Organismus Ionisierend: Strahlen nennt man ionisierend, wenn sie eine Schädigung des Zellmaterials durch Ionisation hervorrufen können.Dabei werden Elektronen aus dem Molekülverband der Zelle entfernt und so die Zelle geschädigt. Physikalisch können nur elektromagnetische Felder mit Wellenlängen kürzer als das UV-Licht ionisierend wirken."
IN – Intelligent Network - Intelligentes Netz,NST,"Kommunikationsnetz, bei dem die Verbindungssteuerung und die Diensteunterstützung getrennt sind. Dadurch lassen sich einzelne Leistungsmerkmale im Netz kundenindividuell einstellen oder kundenindividuelle Netze einrichten."
Internet der Dinge,NST,"Das Internet der Dinge bezeichnet die Vernetzung von Gegenständen mit dem Internet, damit diese selbstständig über das Internet kommunizieren und so verschiedene Aufgaben für den Besitzer erledigen können. Der wichtigste evolutionäre Schritt, um die Vision des Internets der Dinge zu realisieren, fand Mitte 2012 statt, als die größten Internetkonzerne auf das Internet-Protokoll Version 6 umstellten. Damit stieg die Anzahl der verfügbaren IP-Adressen immens an: Waren vorher 4,3 Milliarden Adressen bereits beinahe komplett vergeben, so sind jetzt 340 Sextillionen frei verfügbar. Und: Vorher konnten Web-Adressen nur an Computer, Smartphones und andere Endgeräte vergeben werden - jetzt kann auch jeder Container, jede Palette und sogar jedes Kleidungsstück eine eigene IP bekommen."
Intranet,NST,"Ein Intranet ist ein Netzwerk, das auf den gleichen Techniken wie das Internet (TCP/IP, HTTP) basiert, jedoch nur von einer festgelegten Gruppe von Mitgliedern einer Organisation genutzt wird. Mit einem Intranet verfolgen Unternehmen das Ziel, die Informationsversorgung für die Mitarbeiter zu sichern."
Ionisation,NST,"Prozess, bei dem ein Atom oder Molekül ein Elektron aufnimmt oder abgibt und dadurch elektrisch geladen wird. Ionisation kann durch hohe Temperaturen, elektrische Entladungen, Strahlung und chemische Reaktionen verursacht werden."
Ionisierend,NST,"Strahlen nennt man ionisierend, wenn sie eine Schädigung des Zellmaterials hervorrufen können.Dabei werden Elektronen aus dem Molekülverband der Zelle entfernt und so die Zelle geschädigt. Nur elektromagnetische Felder mit Wellenlängen kürzer als das UV-Licht können ionisierend wirken."
IP,NST,"Internet Protocol ist ein Netzwerkprotokoll.Mittels der im IP Netz verwendeten IP Adressen, können Computer in einem Netzwerk gruppiert und direkt adressiert werden. Definiert sind die Versionen IPv4 und IPv6t. Auf dieser Basis arbeiten nahezu alle Datennetzwerke seit Ende des letzten Jahrhunderts. Auch das weltweite Internet beruht auf diesem Protokoll."
IP-Telefonie,NST,"Unter Internet-Telefonie bzw. IP-Telefonie (Internet Protokoll-Telefonie; auch Voice over IP (VoIP)) versteht man das Telefonieren über Computernetzwerke, die nach Internet-Standards aufgebaut sind."
IP-VPN,NST,"Ein Virtual Private Network, das als Netzwerkprotokoll IP Internet Protocol nutzt. Beispielsweise des unternehmensinterne Intranet.Damit gestattet das IP-VPN den angeschlossenen lokalen Netzen (LAN) eines Unternehmens den Datenaustausch über einen ""sicheren"" Kanal (IP-Tunneling). Auf diese Weise lässt sich z.B. von jedem Interneteinwahlpunkt der Welt aus sicher auf ein Unternehmensnetzwerk zugreifen."
IPTV (Internet Protocol Television),NST,"Mit IPTV wird die digitale Übertragung von Fernsehprogrammen und Filmen über ein digitales Datennetz bezeichnet.Hierzu wird das dem Internet zugrunde liegende Internet Protokoll (IP) verwendet. Im Unterschied zu anderen Übertragungstechniken bietet IPTV die Möglichkeit eines Rückkanals und damit interaktiven Fernsehgenuss. Unter dem Produktnamen ""Entertain"" bietet die Deutsche Telekom IPbasiertes Fernsehen für jedermann an."
IT (Information Technology),NST,"Informationstechnik oder Information Technology (IT) ist ein Oberbegriff für die Informations- und Datenverarbeitung sowie für die dafür benötigte Hard- und Software. Im IT-Bereich bieten wir verschiedene Jobs und auch Ausbildungsstellen an, so unter anderem zum IT-Systemelektroniker."
ITU,NST,"Das Kürzel steht für ""International Telecommunication Union"".Die Internationale Fernmeldeunion (Kürzel ITU; englisch International Telecommunication Union) mit Sitz in Genf ist eine Unterorganisation der Vereinten Nationen und die einzige Organisation, die sich offiziell und weltweit mit technischen Aspekten der Telekommunikation beschäftigt."
IZMF,NST,"Informationszentrum für Mobilfunk.Als Informationsdienstleister ist das Informationszentrum Mobilfunk Ansprechpartner für Bürgerinnen und Bürger, Medien sowie öffentliche und private Institutionen zum Thema Mobilfunk."
Java,NST,Java ist eine objektorientierte Programmiersprache und als solche ein eingetragenes Warenzeichen der Firma Sun Microsystems. Sie ist eine Komponente der Java-Technologie.
Joint Ventures,NST,"Zur Kooperation mehrerer Unternehmen wird eine Gesellschaft gegründet, an der sich die kooperierenden Unternehmen beteiligen."
Kontingentmodell,NST,"Langfristig geschlossener Vertrag mit festgelegtem Vorausbetrag und Abnahmekontingent. Im Gegenzug zahlt der Wiederverkäufer ein reduziertes VDSL-Überlassungsentgelt. Auf diese Weise wird dieser in die Lage versetzt, interessante Angebote für die eigenen Endkunden zu machen, ohne selbst in Glasfaser-Anschlüsse zu investieren. Für die Telekom Deutschland GmbH wird eine verbesserte Auslastung des vorhandenen VDSL-Netzes erreicht. Das bisherige Kontingentmodell befindet sich aktuell in der Weiterentwicklung, um dem Netzausbau in Bezug auf Verfügbarkeit und Bandbreite Rechnung zu tragen."
LAN (Local Area Network),NST,Das Local Area Network ist ein lokales Datennetzwerk bestehend aus Verkabelung und drahtgebundenen wie drahtlosen (W-LAN = wireless LAN) Zugangskomponenten zu diesen.
LBS (Location Based Services),NST,"Location Based Services steuern Mobilität und Flexibilität in der modernen und vernetzten Welt.Mit Hilfe von Satelliten- und Funktechnologie können ""Verkehrsbewegungen"" jeder Art jederzeit transparent dargestellt werden. Das Potenzial von Ortsunabhängigkeit, Lokalisierung und Hochverfügbarkeit macht LBS zur Schnittstelle völlig neuer Geschäftsmodelle. Beispielsweise können ortsbezogene Apps für Smartphones mit ihren Services für die Lebensqualität ganz neue Perspektiven bieten."
Leistungsflussdichte,NST,Maß für die Intensität des elektromagnetischen Feldes; wird in Watt pro Quadratmeter gemessen
LTE,NST,"Long Term Evolution. Mobilfunk-Standard der vierten Generation und Weiterentwicklung von UMTS. LTE basiert auf dem Übertragungsverfahren, das zum Beispiel auch der digitale Rundfunk nutzt, und ermöglicht Datenübertragungsraten von mehr als 100 Mbit/s im Downlink."
M2M,NST,"Machine-to-Machine, kurz M2M, steht für den automatisierten Informationsaustausch zwischen Endgeräten wie Maschinen, Automaten, Fahrzeugen oder Containern untereinander oder mit einer zentralen Leitstelle. Eine Anwendung ist die Fernüberwachung, oder -wartung von Maschinen, Anlagen und Systemen, die traditionell als Telemetrie bezeichnet wird."
Master-Thesis,NST,"Die Deutsche Telekom bietet Studierenden die Möglichkeit, ihre Master-Thesis im Unternehmen zu schreiben. Davon profitieren beide Seiten. Und bei erfolgreicher Fertigstellung gibt es vielleicht noch eine Prämie des Fachbereichs."
MIMO,NST,"Multiple-Input Multiple-Output ist eine Mehrfachantennentechnik, die bei LTE eingesetzt wird. Damit können die Datenrate sowie die Versorgungsqualität erhöht werden."
MINT,NST,"MINT ist die Abkürzung für Mathematik, Informatik, Naturwissenschaft und Technik. Aufgrund fehlender Fachkräfte setzt die Telekom sich verstärkt für den Nachwuchs in diesem Bereich ein."
Mobile Couponing,NST,"Ein virtuelles Rabattsystem, dass sich die Möglichkeiten der mobilen Kommunikation zu eigen macht: Der Kunde hat nicht mehr eine Rabattmarke aus Papier, sondern bekommt per SMS, E-Mail, Download oder Scan einen digitalen Coupon auf sein Handy und erhält dann beim Bezahlen den jeweiligen Rabatt."
Mobile Payment,NST,"Englisch für ""Mobiles Bezahlen"": Bezahlvorgänge, bei der zumindest der Zahlungspflichtige mobile elektronische Techniken zur Initiierung, Autorisierung oder Realisierung der Zahlung einsetzt."
Mobile Tagging/QR-Code,NST,"Beim Mobile Tagging wird mit Hilfe der Kamera eines mobilen Endgerätes ein Strichcode von einem gekennzeichneten Objekt, von einem Blatt Papier oder von einem Display ausgelesen. Üblicherweise werden als Codes verschiedene zweidimensionale Barcodes wie zum Beispiel der QR-Code (englisch: Quick Response, ""schnelle Antwort"") verwendet. Um einen 2D-Barcode auslesen zu können, muss eine spezielle Software auf dem mobilen Endgerät installiert werden."
Modulation,NST,"Vorgang zur Signalübertragung, bei der niederfrequente Informationen (z.B. Musik, Sprache, Daten) einem geeigneten hochfrequenten Signal, der sogenannten Trägerfrequenz, aufmodeliert werden."
MPLS,NST,"MPLS (Multiprotocol Label Switching) bezeichnet eine spezielle Netzwerktechnolgie bei der Datenübertragung. MPLS ermöglicht die Übertragung von Sprache und Daten über eine gemeinsame Infrastruktur, indem es die verfügbaren Bandbreiten effizient nutzt.Netzwerk-Kunden profitieren so von einer fertigen Infrastruktur und ersparen sich eine Menge Aufwand, der beim Aufbau eines eigenen Netzes anfallen würde."
MTR,NST,"Mobile Termination Rate (engl.) – Mobilfunk-TerminierungsentgelteTerminierung ist der Transport eines Gesprächs vom Netz z. B. des Wettbewerbers in das Netz der Telekom. Wird das Gespräch in das Mobilfunknetz transportiert, spricht man von Mobilfunk-Terminierung. Wird der Verkehr in das Festnetz terminiert, spricht man von Festnetz-Terminierung oder oft auch einfach von Interconnection (IC). Unter dem Begriff Terminierungsentgelt versteht man den Betrag, den eine Telefongesellschaft bei der Netzzusammenschaltung für die Terminierung eines Gesprächs in ein fremdes Netz zahlen muss."
MVNO,NST,"Mobile Virtual Network Opertator (engl) – Mobiler virtueller NetzbetreiberDienstleister, die vergleichsweise günstige Gesprächsminuten ohne Gerätesubventionen anbieten und dabei über kein eigenes Mobilfunknetz verfügen, sondern als Service Provider auf die Netzinfrastruktur der großen Mobilfunk-Anbieter zurückgreifen."
Narrow Band IoT (NB?IoT),NST,"Narrow Band IoT (NB?IoT) ist eine neue Art der schmalbandigen Kommunikation mit „Dingen“ (Internet of Things), bei der es um die Übertragung von kleinen Datenmengen über lange Zeiträume hinweg an schwer erreichbaren Stellen geht. Beispielsweise in den Boden eingelassene Sensoren für das Smart-Parking in Städten."
Netztechnik,NST,"Der Bereich Netztechnik der Telekom entwickelt, plant, baut und betreibt die Netzinfrastruktur für Festnetz und Mobilfunk."
NGN (Next Generation Network),NST,"NGN ist ein Kommunikationsnetz, das sich durch die Konvergenz herkömmlicher Netze (Telefonnetze, Mobilfunknetze etc.) mit IP-basierten Netzen ergibt.Alle Dienste basieren auf dem IP-Protokoll. NGNs markieren einen fundamentalen Wechsel in der Architektur öffentlicher Netze, indem paketvermittelte Netze die für den Telefondienst optimierten leitungsvermittelten Netze ersetzen. NGNs unterstützen Sprache, Daten und Multimedia und sind eng mit der Verbreitung von Voice over IP (VoIP) verbunden."
Nicht ionisierende Strahlung,NST,"Umfasst alle Felder des elektromagnetischen Spektrums, die nicht genügend Energie besitzen, um eine Ionisation zu verursachen. Dies sind z.B. Radiowellen, Mikrowellen, Infrarot-Strahlen und sichtbares Licht."
OFDM,NST,"Orthogonal Frequency Division Multiplexing.Funk-Übertragungsverfahren, das - zum Beispiel bei LTE - das Frequenzspektrum in schmalbandige Unterkanäle aufteilt und darauf die Daten parallel überträgt. Damit kann der Funkkanal optimal an die Signalausbreitungsbedingungen angepasst und die Übertragungskapazität gesteigert werden."
OTT Player,NST,Anbieter von IP-basierten und plattformunabhängigen Diensten wie z. B. WhatsApp.
Postpaid,NST,"Kunden, die Kommunikationsleistungen im Nachgang der erbrachten Leistung bezahlen (in der Regel auf Monatsbasis)."
Praktikum,NST,"Sowohl Schüler als auch Studenten haben bei der Telekom die Möglichkeit, ein Praktikum zu absolvieren. Dabei erhalten sie Einblick in den Ablauf des Unternehmens und können sich beruflich orientieren. Für Studenten gibt es darüber hinaus das Flexikum, das durch und durch flexible Praktikum."
Prepaid,NST,"Prepaid (englisch: ""im Voraus bezahlt"") bedeutet, dass man eine Leistung zuerst bezahlt und im Anschluss erhält beziehungsweise nutzt. Durch Kauf einer Prepaid-Karte für Mobiltelefone lädt man ein Guthaben auf das Handy und kann es später für Telefonate, SMS und sonstige Dienste verbrauchen."
Preselection,NST,"Voreingestellte Auswahl der Telefongesellschaft.Verfahren, bei dem der Kunde auf einen bestimmten Anbieter, den sogenannten Verbindungsnetzbetreiber, für alle seine Fern- und Auslandsgespräche voreingestellt wird."
Professionals,NST,Für Professionals stehen bei der Telekom viele Türen offen. Vom Kundendienst bis zum SAP-Spezialisten - in allen Bereichen sind wir auf der Suche nach zukünftigen Mitarbeitern.
Promotion / berufsbegleitende Promotion,NST,Nach erfolgreichem Studienabschluss wollen Sie noch Ihren Doktor machen? Dann haben Sie bei der Telekom die Möglichkeit dazu!
PSTN,NST,"Public Switched Telephone NetworkBezeichnet das weltweit verfüg­bare öffentliche Telefonnetz. Zu seinen Bestandteilen gehören Telefone, Telefonanschlusskabel und die Vermittlungsstellen."
Rating,NST,"Beurteilung der Bonität von Wertpapieren oder Schuldnern durch ­Rating-Agenturen. Die Deutsche Telekom definiert im Rahmen ihrer Finanzstrategie einen Korridor für das Rating, um den Zugang zu den internationalen Kapitalmärkten sicherzustellen."
reif,NST,"reif ist das kostenlose Jugendmagazin der Telekom, in dem Schüler, Azubis und duale Studenten über Themen wie Ausbildung, Musik, Sport oder Familie schreiben. Es erscheint in Kooperation mit dem jungvornweg Verlag."
Retail,NST,Klein-/Einzelhandel. Im Gegensatz hierzu bezeichnet man das Groß­handelsgeschäft auch als Wholesale-Geschäft.
Reverse Factoring,NST,"Unter Reverse Factoring wird eine Finanzierung verstanden, die einem Lieferanten den Forderungsverkauf ermöglicht."
RFID,NST,"Radio Frequency Identification: Die Funk-Identifikationstechnologie ermöglicht die automatische Identifizierung und Lokalisierung von Gegenständen und Lebewesen und erleichtert damit die Erfassung von Daten. Ein RFID-System besteht aus einem Transponder, der sich am oder im Gegenstand bzw. Lebewesen befindet und einen kennzeichnenden Code enthält, sowie einem Lesegerät zum Auslesen dieser Kennung."
Roaming,NST,"Roaming (engl. Wandern) bezeichnet die Nutzung eines Kommunikationsendgerätes oder auch nur die Nutzung der Teilnehmeridentität in einem anderen Netzwerk (visited network) als dem Heimatnetzwerk (home network).Hierzu ist erforderlich, dass die Betreiber der beiden Netzwerke ein Roamingabkommen getroffen haben, sowie die erforderlichen Signalisierungs- und Datenverbindungen zwischen ihren Netzen geschaltet haben. Roaming kommt etwa zum Tragen bei der länderübergreifenden Nutzung von Mobiltelefonen."
Router,NST,"Koppelelemente, die zwei oder mehr Subnetze miteinander verbinden. Darüber hinaus können Router die Grenzen eines Netzwerks erweitern und den Datenverkehr kontrollieren, indem sie fehlerbehaftete Datenpakete nicht weiterleiten."
RSS,NST,"Really Simple Syndication bezeichnet sowohl ein Verfahren als auch ein Dateiformat, die beide im Internet benutzt werden, um Informationen auf besonders effektive Weise zu verbreiten. Dabei dient RSS vor allem der Verbreitung bzw. dem Austausch von Nachrichten.Der ""wirklich einfachen Verbreitung"" von Nachrichten liegt folgendes Konzept zugrunde: Eine RSS-Datei ist eine maschinenlesbare Kurzbeschreibung eines Dokuments, etwa eines aktuellen Zeitungsartikels. Sie enthält in der Regel die Überschrift dieses Artikels sowie eine knappe Zusammenfassung. Außerdem enthält sie einen Link zur Internetadresse der jeweiligen Seite, über den das beschriebene Dokument aufgerufen werden kann. Eingesetzt wird RSS vor allem dort, wo der Inhalt von Webseiten häufig aktualisiert wird."
SAR,NST,Spezifische Absorptionsrate.Diese ist ein Maß für die im Körper aufgenommenen elektromagnetischen Felder. Sie wird in Watt pro Kilogramm Körpergewicht ausgedrückt.
Service Umsätze,NST,"Service-Umsätze sind von Mobilfunk-Kunden generierte Umsätze aus Diensten (d. h. Umsätze aus Sprachdiensten – eingehenden und abgehenden Gesprächen – sowie Datendiensten), zuzüglich Roaming-Umsätzen, monat­licher Grundgebühren und Visitoren-Umsätzen."
SIFE (enactus),NST,"SIFE (Students in Free Enterprise) ist eine der weltweit größten gemeinnützigen Studierendenorganisationen. SIFE wurde 2012 in Enactus umbenannt. Die Organisation hat es sich zur Aufgabe gemacht, theoretisches Wissen aus der Universität in nachhaltige Praxisprojekte einzubringen.Die Telekom fördert das Netzwerk und richtete den SIFE-Landeswettbewerb 2011 aus."
Smartphone,NST,"Ein Smartphone ist ein Mobiltelefon (umgangssprachlich Handy), das mehr Computer-Funktionalität und -konnektivität als ein herkömmliches Mobiltelefon zur Verfügung stellt. Erste Smartphones vereinigten die Funktionen eines PDA bzw. Tablet-Computers mit der Funktionalität eines Mobiltelefons. Später wurde dem kompakten Gerät auch noch die Funktion eines transportablen Medienabspielgerätes, einer Digital- und Videokamera und eines GPS-Navigationsgeräts hinzugefügt. Ein zentrales Merkmal moderner Smartphones sind berührungsempfindliche Bildschirme. Darüber können sowohl Standard-Webseiten als auch mobil optimierte Webseiten dargestellt werden. Eine schnelle Internet-Anbindung erfolgt wahlweise mittels einer mobilen Breitbandverbindung über den Mobilfunkanbieter oder per WLAN."
Social Media,NST,"Als Social Media (auch Soziale Medien) werden alle Medien (Plattformen) verstanden, die die Nutzer über digitale Kanäle in der gegenseitigen Kommunikation und im interaktiven Austausch von Informationen unterstützen. Beispielsweise Twitter, Facebook, Blogs und Youtube."
Spleißen,NST,"Glasfasern (Lichtwellenleiter) werden mit einem speziellen Gerät gespleißt (Lichtbogengerät), wobei Verlegekabel an ihren Enden mit kurzen Einzelfasern verbunden werden. Das Spleißgerät justiert die lichtleitenden Kerne der beiden Enden der zu spleißenden Glasfasern punktgenau aufeinander. Das Justieren geschieht bei modernen Geräten vollautomatisch, bei älteren Modellen manuell mittels Mikrometerschrauben und Mikroskop. Ein geübter Spleißer kann damit die Faserenden innerhalb weniger Sekunden präzise positionieren. Anschließend werden die Fasern mit einem Lichtbogen miteinander verschmolzen (verschweißt)."
SSK,NST,"Deutsche Strahlenschutzkommission; berät das Bundesministerium für Umwelt, Naturschutz, Bau und Reaktorsicherheit (BMUB) in allen Fragen des Strahlenschutzes."
Stakeholder,NST,"Der Stakeholder-Ansatz ist die Erweiterung des in der Betriebswirtschaft verbreiteten Shareholder Value-Ansatzes. Im Gegensatz zum Shareholder Value-Prinzip, das die Bedürfnisse und Erwartungen der Anteilseigner eines Unternehmens in den Mittelpunkt des Interesses stellt, versucht der Stakeholder-Ansatz, das Unternehmen in seinem gesamten sozialen Kontext zu erfassen und die Bedürfnisse der unterschiedlichen Anspruchsgruppen in Einklang zu bringen. Als Stakeholder gelten dabei neben den Shareholdern die Mitarbeiter, die Kunden, die Lieferanten sowie der Staat und die Öffentlichkeit."
Standortbescheinigung,NST,Genehmigung der Bundesnetzagentur für die Errichtung einer Basisstation. Das Verfahren ist in der Verordnung über das Nachweisverfahren zur Begrenzung elektromagnetischer Felder (BEMfV) geregelt.
Start up!,NST,"Start up! ist das Einstiegsprogramm für Hochschulabsolventen.15 Monate lang lernen Sie in fünf Projektphasen unterschiedliche Bereiche des Unternehmens kennen, absolvieren einen Einsatz im Ausland und werden dabei von einem Mentor unterstützt."
Störfestigkeit,NST,Maß für die Beeinflussung eines Systems durch elektromagnetische Felder (siehe auch Einstrahlfestigkeit).
Supply Chain,NST,"Zu deutsch: Lieferkette, auch logistische Kette oder Wertschöpfungskette in einem unternehmensübergreifenden Versorgungs- oder Wertschöpfungprozess. Die Wertschöpfungkette beginnt mit der Erzeugung der Rohstoffe, geht weiter über verschiedene Produktions- und Transportstufen über die Handelsstufen bis zum Endverbraucher."
Systems Integration,NST,"Die Systems Integration ist eine Einheit der T-Systems. Sie entwickelt individuelle Software, Applikationen und IT-Lösungen für weltweite Großkunden und integriert sie in deren Prozess- und IT-Landschaft."
T-Labs,NST,"Die T-Labs (Telekom Innovation Laboratories) mit Sitz in Berlin sind ein Forschungs- und Entwicklungsinstitut der Telekom, welches eng mit der TU Berlin und anderen Hochschulen zusammenarbeitet. Ziel ist es, Innovationen im Bereich der Telekommunikation zu erbringen und diese im Konzern zu integrieren. Dabei arbeiten Wissenschaft und Wirtschaft eng an mehreren Standorten der Welt zusammen.Mehr zu T-Labs"
T-Systems,NST,T-Systems ist die Großkundensparte der Deutschen Telekom. Das Unternehmen betreibt Informations- und Kommunikationstechnik für multinationale Konzerne und öffentliche Institutionen. Bei der T-Systems sind rund 47.600 Mitarbeiter weltweit beschäftigt.Mehr zu T-Systems
Tablet-PC,NST,"Englisch: tablet ""Schreibtafel"", US-Englisch: tablet ""Notizblock"": ein tragbarer, flacher Computer mit einem Touchscreen-Display. Anders als beim Notebook hat ein Tablet-PC keine ausklappbare Tastatur. Aufgrund der leichten Bauart und des berührungsempfindlichen Bildschirms zeichnen sich Tablet-PCs durch eine einfache Handhabung aus. Die Geräte sind in Leistungsumfang und Bedienungsqualität mit modernen Smartphones vergleichbar."
TCP/IP,NST,Transmission Control Protocol over Internet Protocol.Das TCP/IP-Referenzmodell beschreibt den Aufbau und das Zusammenwirken der Netzwerkprotokolle aus der Internet-Protokoll-Familie.
Deutsche Telekom Stiftung,NST,"Die Deutsche Telekom Stiftung ist eine gemeinnützige Unternehmensstiftung, die sich bundesweit für eine Verbesserung der Bildung in den MINT-Fächern (Mathematik, Informatik, Naturwissenschaft und Technik) engagiert.Mehr zu Deutsche Telekom-Stiftung"
