SLCAN,SLCAT,CONTEXT
Supply Chain,NST,Sometimes referred to as a logistics chain or value-added chain in a supply or value-added process that overarches several companies. The supply chain starts with the production of raw materials and continues through various manufacturing and transport stages through to commercial stages and shipment to end users.
Stakeholder,NST,"The stakeholder approach is an extension of the shareholder value approach, a concept frequently used in business administration. In contrast to the shareholder value principle, which focuses on the needs and expectations of a company’s shareholders, the stakeholder approach attempts to appreciate the company against its overall social background and reconcile the needs of the ­different stakeholders. In addition to shareholders, stakeholders include staff, customers, suppliers, the government, and the public at large."
Tablet-PC,NST,"Portable, flat computer with a touchscreen display. Unlike a notebook, a tablet PC does not have a foldout keyboard. Due to its lightweight design and touch-sensitive screen, tablet PCs are extremely easy to use. The devices offer the kind of functionality and ease of use you find on today's smartphones."
TCP/IP,NST,Transmission Control Protocol over Internet Protocol.The TCP/IP reference model describes the structure and interaction of network protocols in the Internet protocol family.
Telematics,NST,"An amalgamation of telecommunications and information technology.A field of research that deals with the mutual interactions between and the interwovenness of various communication technology disciplines, especially the areas of electronic information processing and telecommunications which rely on the same basic technologies. The Intelligent Transportation System and the services that build on it to ensure greater transportation safety, environmental compatibility and (economic) efficiency is a special area of Telematics that has emerged in recent years."
Telemedicine,NST,"Telemedicine is a subdiscipline of telematics in the healthcare sector. It refers to diagnostics and treatment that uses telecommunications to overcome a spatial or temporal separation between physician, pharmacist, and patient, or between two consulting physicians."
TeraStream,NST,"TeraStream is a new cloud-based IP network architecture. It helps substantially reduce IT complexity in existing networks by migrating the operating systems for network operation to the cloud. Network administration and management becomes much easier by using the cloud model since these functions are provided centrally from a single data center rather than directly on the respective network component, as previously."
TETRA (Terrestrial Trunked Radio),NST,"This originally stood for ""Trans-European Trunk Radio"".TETRA is a standard for digital trunked radio. Because of its special service features, it is particularly suitable for government agencies and organizations that fulfill security tasks (police, fire brigade, rescue services)."
Thermal effects,NST,Effects caused by electromagnetic fields which lead to a rise in body temperature.
Time slot,NST,"Firmly assigned period of time within a transmission frame. In the GSM network voice and data signals are transmitted as data packets at regular intervals - known as ""time slots""."
ULL,NST,"Unbundled Local LoopCompetitors whose own networks do not reach into customers’ premises can rent unbundled local loop lines from Deutsche Telekom. Their networks end at the local exchanges. The ULL bridges the distance between the local exchange and the termination point on the customer’s premises or in their home, so it is also known as the “last mile.”"
UMTS,NST,"Universal Mobile Telecommunications System is a third-generation (3G) mobile communications standard.UMTS has enhanced performance and has superseded mobile communications using GSM. UMTS supports high-performance multimedia services. These include, besides voice and audio services, high-speed data, graphics and text transmission and the transmission of moving images and video."
Uplink,NST,"Radio link from a mobile device (e.g., cell or smart phone) to the base station."
Utilization Rate,NST,Ratio of average number of hours billed to maximum possible hours billed per period.
Vectoring,NST,A technology based on VDSL that supports higher bandwidths. Existing copper pairs between homes and cable distributors are retained. Vectoring reduces signal interference that is responsible for slowing down data speeds on the copper. The technology supports download speeds of up to 100 Mbit/s.
VOD (Video on Demand),NST,"VOD is a multimedia service that enables participants to select and play videos (such as feature films, training modules or music clips) from a set of videos that are on offer. Content is stored in compressed form in interconnected video servers and is usually transferred over a broadband network (Internet) and viewed on a TV or some other suitable device. In the TV market, VOD is often offered as a “pay-per-view” (PPV) or a subscription-based service (payment on a time-related contractual basis)."
VoIP (Voice over IP),NST,"VoIP is the merging of voice and data on shared infrastructure (TCP/IP protocol).It involves making phone calls using computer networks and, in particular, data networks that operate using the widely used Internet Protocol (IP). VoIP technology makes significantly more efficient use of existing line resources. This reduces the cost of calls. IT applications and telephony also work together better thanks to the shared network infrastructure."
Voluntary commitment,NST,"Voluntary commitment by carriers in 2001 toward the Federal Government to implement various measures to improve safety and protection with regards to consumers, the environment and public health."
VPN,NST,"Virtual private network: a self-contained computer network which is set up on a public network infrastructure. Only communications partners that belong to this private network can communicate with each other and share information and data. VPNs are used, for instance, by companies with several locations to protect data traffic between the individual locations."
WAP,NST,Wireless Application Protocol.Wireless Application Protocol (WAP) denotes a number of technologies and protocols that have been used to make Internet content available with the slower transmission rates and longer response times encountered in GSM mobile communications networks and the small displays found on cell phones.
Webcast,NST,"The term ""webcast"" denotes the sending of audiovisual content over the Internet. As a rule, the content of webcasts is informative or scientific."
White Spots,NST,"Regions (e.g., cities and municipalities) that the States of Germany have reported to the Federal Network Agency as having inadequate broadband Internet coverage (fixed network or mobile communications) are referred to as ""white spots."" These regions are mainly located in rural areas; coverage is being expanded as part of Telekom’s ""More Broadband for Germany"" project."
WHO,NST,World Health Organization.
Wholesale,NST,Refers to the business of selling services to third parties who sell them to their own end customers either directly or after further processing.
WLAN,NST,"Wireless Local Area Network is a radio standard for wireless data transmission in a small-scale local radio network. A WLAN includes an access point - a WLAN router. The router establishes a connection to the Internet. A WLAN-capable device, for example a laptop with a WLAN adapter, is also required."
